patch_name,position,stop_rate
clean,none,0.0
optimized,top_left,0.35
optimized,top_right,0.525
optimized,bottom_left,0.4
optimized,bottom_right,0.5
optimized,center,0.9
random,top_left,0.175
random,top_right,0.15
random,bottom_left,0.025
random,bottom_right,0.075
random,center,0.325
solid_red,top_left,0.025
solid_red,top_right,0.025
solid_red,bottom_left,0.025
solid_red,bottom_right,0.075
solid_red,center,0.225
solid_gray,top_left,0.0
solid_gray,top_right,0.0
solid_gray,bottom_left,0.0
solid_gray,bottom_right,0.025
solid_gray,center,0.1
