encoder,variant,n_images,stop_count,stop_rate,stop_rate_std,n_seeds
ViT-B-32-quickgelu:openai,clean,40,1,0.025,,1
ViT-B-32-quickgelu:openai,whitebox_center,40,4,0.1,,1
ViT-B-32-quickgelu:openai,heldout_center,40,2,0.05,,1
ViT-B-32-quickgelu:openai,clip_whitebox_center,40,39,0.975,,1
ViT-B-32-quickgelu:openai,random_center,40,,0.085,0.0122,5
ViT-B-16-quickgelu:openai,clean,40,3,0.075,,1
ViT-B-16-quickgelu:openai,whitebox_center,40,8,0.2,,1
ViT-B-16-quickgelu:openai,heldout_center,40,15,0.375,,1
ViT-B-16-quickgelu:openai,clip_whitebox_center,40,39,0.975,,1
ViT-B-16-quickgelu:openai,random_center,40,,0.01,0.0122,5
ViT-L-14-quickgelu:openai,clean,40,2,0.05,,1
ViT-L-14-quickgelu:openai,whitebox_center,40,15,0.375,,1
ViT-L-14-quickgelu:openai,heldout_center,40,13,0.325,,1
ViT-L-14-quickgelu:openai,clip_whitebox_center,40,38,0.95,,1
ViT-L-14-quickgelu:openai,random_center,40,,0.235,0.0255,5
ViT-B-32:laion2b_s34b_b79k,clean,40,4,0.1,,1
ViT-B-32:laion2b_s34b_b79k,whitebox_center,40,27,0.675,,1
ViT-B-32:laion2b_s34b_b79k,heldout_center,40,15,0.375,,1
ViT-B-32:laion2b_s34b_b79k,clip_whitebox_center,40,39,0.975,,1
ViT-B-32:laion2b_s34b_b79k,random_center,40,,0.13,0.051,5
ViT-B-16-SigLIP:webli,clean,40,0,0.0,,1
ViT-B-16-SigLIP:webli,whitebox_center,40,16,0.4,,1
ViT-B-16-SigLIP:webli,heldout_center,40,5,0.125,,1
ViT-B-16-SigLIP:webli,clip_whitebox_center,40,29,0.725,,1
ViT-B-16-SigLIP:webli,random_center,40,,0.0,0.0,5
