encoder,variant,n_images,stop_count,stop_rate
ViT-B-32-quickgelu:openai,clean,40,1,0.025
ViT-B-32-quickgelu:openai,whitebox_center,40,4,0.1
ViT-B-32-quickgelu:openai,heldout_center,40,2,0.05
ViT-B-32-quickgelu:openai,clip_whitebox_center,40,39,0.975
ViT-B-32-quickgelu:openai,random_s42,40,3,0.075
ViT-B-32-quickgelu:openai,random_s43,40,4,0.1
ViT-B-32-quickgelu:openai,random_s44,40,3,0.075
ViT-B-32-quickgelu:openai,random_s45,40,4,0.1
ViT-B-32-quickgelu:openai,random_s46,40,3,0.075
ViT-B-16-quickgelu:openai,clean,40,3,0.075
ViT-B-16-quickgelu:openai,whitebox_center,40,8,0.2
ViT-B-16-quickgelu:openai,heldout_center,40,15,0.375
ViT-B-16-quickgelu:openai,clip_whitebox_center,40,39,0.975
ViT-B-16-quickgelu:openai,random_s42,40,0,0.0
ViT-B-16-quickgelu:openai,random_s43,40,0,0.0
ViT-B-16-quickgelu:openai,random_s44,40,1,0.025
ViT-B-16-quickgelu:openai,random_s45,40,0,0.0
ViT-B-16-quickgelu:openai,random_s46,40,1,0.025
ViT-L-14-quickgelu:openai,clean,40,2,0.05
ViT-L-14-quickgelu:openai,whitebox_center,40,15,0.375
ViT-L-14-quickgelu:openai,heldout_center,40,13,0.325
ViT-L-14-quickgelu:openai,clip_whitebox_center,40,38,0.95
ViT-L-14-quickgelu:openai,random_s42,40,9,0.225
ViT-L-14-quickgelu:openai,random_s43,40,10,0.25
ViT-L-14-quickgelu:openai,random_s44,40,8,0.2
ViT-L-14-quickgelu:openai,random_s45,40,9,0.225
ViT-L-14-quickgelu:openai,random_s46,40,11,0.275
ViT-B-32:laion2b_s34b_b79k,clean,40,4,0.1
ViT-B-32:laion2b_s34b_b79k,whitebox_center,40,27,0.675
ViT-B-32:laion2b_s34b_b79k,heldout_center,40,15,0.375
ViT-B-32:laion2b_s34b_b79k,clip_whitebox_center,40,39,0.975
ViT-B-32:laion2b_s34b_b79k,random_s42,40,5,0.125
ViT-B-32:laion2b_s34b_b79k,random_s43,40,7,0.175
ViT-B-32:laion2b_s34b_b79k,random_s44,40,3,0.075
ViT-B-32:laion2b_s34b_b79k,random_s45,40,8,0.2
ViT-B-32:laion2b_s34b_b79k,random_s46,40,3,0.075
ViT-B-16-SigLIP:webli,clean,40,0,0.0
ViT-B-16-SigLIP:webli,whitebox_center,40,16,0.4
ViT-B-16-SigLIP:webli,heldout_center,40,5,0.125
ViT-B-16-SigLIP:webli,clip_whitebox_center,40,29,0.725
ViT-B-16-SigLIP:webli,random_s42,40,0,0.0
ViT-B-16-SigLIP:webli,random_s43,40,0,0.0
ViT-B-16-SigLIP:webli,random_s44,40,0,0.0
ViT-B-16-SigLIP:webli,random_s45,40,0,0.0
ViT-B-16-SigLIP:webli,random_s46,40,0,0.0
