encoder,variant,n_images,stop_count,stop_rate
ViT-B-32-quickgelu:openai,clean,40,1,0.025
ViT-B-32-quickgelu:openai,whitebox_center,40,40,1.0
ViT-B-32-quickgelu:openai,heldout_center,40,40,1.0
ViT-B-32-quickgelu:openai,clip_whitebox_center,40,34,0.85
ViT-B-32-quickgelu:openai,random_s42,40,3,0.075
ViT-B-32-quickgelu:openai,random_s43,40,4,0.1
ViT-B-32-quickgelu:openai,random_s44,40,3,0.075
ViT-B-32-quickgelu:openai,random_s45,40,4,0.1
ViT-B-32-quickgelu:openai,random_s46,40,3,0.075
ViT-B-16-quickgelu:openai,clean,40,3,0.075
ViT-B-16-quickgelu:openai,whitebox_center,40,40,1.0
ViT-B-16-quickgelu:openai,heldout_center,40,40,1.0
ViT-B-16-quickgelu:openai,clip_whitebox_center,40,40,1.0
ViT-B-16-quickgelu:openai,random_s42,40,0,0.0
ViT-B-16-quickgelu:openai,random_s43,40,0,0.0
ViT-B-16-quickgelu:openai,random_s44,40,1,0.025
ViT-B-16-quickgelu:openai,random_s45,40,0,0.0
ViT-B-16-quickgelu:openai,random_s46,40,1,0.025
ViT-B-32:laion2b_s34b_b79k,clean,40,4,0.1
ViT-B-32:laion2b_s34b_b79k,whitebox_center,40,40,1.0
ViT-B-32:laion2b_s34b_b79k,heldout_center,40,39,0.975
ViT-B-32:laion2b_s34b_b79k,clip_whitebox_center,40,33,0.825
ViT-B-32:laion2b_s34b_b79k,random_s42,40,5,0.125
ViT-B-32:laion2b_s34b_b79k,random_s43,40,7,0.175
ViT-B-32:laion2b_s34b_b79k,random_s44,40,3,0.075
ViT-B-32:laion2b_s34b_b79k,random_s45,40,8,0.2
ViT-B-32:laion2b_s34b_b79k,random_s46,40,3,0.075
ViT-L-14-quickgelu:openai,clean,40,2,0.05
ViT-L-14-quickgelu:openai,whitebox_center,40,40,1.0
ViT-L-14-quickgelu:openai,heldout_center,40,40,1.0
ViT-L-14-quickgelu:openai,clip_whitebox_center,40,40,1.0
ViT-L-14-quickgelu:openai,random_s42,40,9,0.225
ViT-L-14-quickgelu:openai,random_s43,40,10,0.25
ViT-L-14-quickgelu:openai,random_s44,40,8,0.2
ViT-L-14-quickgelu:openai,random_s45,40,9,0.225
ViT-L-14-quickgelu:openai,random_s46,40,11,0.275
ViT-B-16-SigLIP:webli,clean,40,0,0.0
ViT-B-16-SigLIP:webli,whitebox_center,40,40,1.0
ViT-B-16-SigLIP:webli,heldout_center,40,40,1.0
ViT-B-16-SigLIP:webli,clip_whitebox_center,40,40,1.0
ViT-B-16-SigLIP:webli,random_s42,40,0,0.0
ViT-B-16-SigLIP:webli,random_s43,40,0,0.0
ViT-B-16-SigLIP:webli,random_s44,40,0,0.0
ViT-B-16-SigLIP:webli,random_s45,40,0,0.0
ViT-B-16-SigLIP:webli,random_s46,40,0,0.0
EVA02-B-16:merged2b_s8b_b131k,clean,40,1,0.025
EVA02-B-16:merged2b_s8b_b131k,whitebox_center,40,40,1.0
EVA02-B-16:merged2b_s8b_b131k,heldout_center,40,36,0.9
EVA02-B-16:merged2b_s8b_b131k,clip_whitebox_center,40,35,0.875
EVA02-B-16:merged2b_s8b_b131k,random_s42,40,3,0.075
EVA02-B-16:merged2b_s8b_b131k,random_s43,40,5,0.125
EVA02-B-16:merged2b_s8b_b131k,random_s44,40,3,0.075
EVA02-B-16:merged2b_s8b_b131k,random_s45,40,2,0.05
EVA02-B-16:merged2b_s8b_b131k,random_s46,40,3,0.075
convnext_base_w:laion2b_s13b_b82k,clean,40,1,0.025
convnext_base_w:laion2b_s13b_b82k,whitebox_center,40,38,0.95
convnext_base_w:laion2b_s13b_b82k,heldout_center,40,35,0.875
convnext_base_w:laion2b_s13b_b82k,clip_whitebox_center,40,38,0.95
convnext_base_w:laion2b_s13b_b82k,random_s42,40,8,0.2
convnext_base_w:laion2b_s13b_b82k,random_s43,40,8,0.2
convnext_base_w:laion2b_s13b_b82k,random_s44,40,9,0.225
convnext_base_w:laion2b_s13b_b82k,random_s45,40,8,0.2
convnext_base_w:laion2b_s13b_b82k,random_s46,40,9,0.225
