encoder,variant,cos_disp,stop_align,d_stop_align,std_d_stop_align,n_seeds
ViT-B-32-quickgelu:openai,clean,0.0,-0.0129,0.0,,1
ViT-B-32-quickgelu:openai,whitebox_center,0.1984,-0.0092,0.0037,,1
ViT-B-32-quickgelu:openai,heldout_center,0.2441,-0.0071,0.0058,,1
ViT-B-32-quickgelu:openai,clip_whitebox_center,0.2167,0.1231,0.136,,1
ViT-B-32-quickgelu:openai,random_center,0.2279,-0.0297,-0.0169,0.0019,5
ViT-B-16-quickgelu:openai,clean,0.0,-0.0115,0.0,,1
ViT-B-16-quickgelu:openai,whitebox_center,0.1788,0.0082,0.0196,,1
ViT-B-16-quickgelu:openai,heldout_center,0.1931,0.0283,0.0398,,1
ViT-B-16-quickgelu:openai,clip_whitebox_center,0.1606,0.1046,0.116,,1
ViT-B-16-quickgelu:openai,random_center,0.2419,-0.0168,-0.0053,0.0032,5
ViT-L-14-quickgelu:openai,clean,0.0,-0.0129,0.0,,1
ViT-L-14-quickgelu:openai,whitebox_center,0.2714,0.0358,0.0488,,1
ViT-L-14-quickgelu:openai,heldout_center,0.2882,0.0288,0.0418,,1
ViT-L-14-quickgelu:openai,clip_whitebox_center,0.3159,0.1127,0.1256,,1
ViT-L-14-quickgelu:openai,random_center,0.2659,0.0039,0.0169,0.0015,5
ViT-B-32:laion2b_s34b_b79k,clean,0.0,-0.0093,0.0,,1
ViT-B-32:laion2b_s34b_b79k,whitebox_center,0.2498,0.0592,0.0685,,1
ViT-B-32:laion2b_s34b_b79k,heldout_center,0.2597,0.039,0.0483,,1
ViT-B-32:laion2b_s34b_b79k,clip_whitebox_center,0.2445,0.1296,0.1389,,1
ViT-B-32:laion2b_s34b_b79k,random_center,0.26,0.005,0.0143,0.0027,5
ViT-B-16-SigLIP:webli,clean,0.0,-0.0093,0.0,,1
ViT-B-16-SigLIP:webli,whitebox_center,0.198,0.0518,0.0611,,1
ViT-B-16-SigLIP:webli,heldout_center,0.197,0.0234,0.0327,,1
ViT-B-16-SigLIP:webli,clip_whitebox_center,0.168,0.0925,0.1017,,1
ViT-B-16-SigLIP:webli,random_center,0.2176,0.0085,0.0178,0.0035,5
