epoch,loss,train:ViT-B-32-quickgelu:openai,train:ViT-B-16-quickgelu:openai,train:ViT-B-32:laion2b_s34b_b79k,train:ViT-B-16-SigLIP:webli,train:EVA02-B-16:merged2b_s8b_b131k,HELDOUT:ViT-L-14-quickgelu:openai
1,2.0483,0.72,0.88,0.7,0.92,0.86,0.82
2,0.3606,0.9,1.0,0.96,1.0,1.0,1.0
3,0.1284,0.94,1.0,1.0,1.0,1.0,1.0
4,0.0893,0.96,1.0,1.0,1.0,1.0,1.0
5,0.0787,0.96,1.0,1.0,1.0,1.0,1.0
6,0.0617,0.96,1.0,1.0,1.0,1.0,1.0
7,0.0464,0.96,1.0,1.0,1.0,1.0,1.0
8,0.0398,0.98,1.0,1.0,1.0,1.0,1.0
9,0.0387,0.98,1.0,1.0,1.0,1.0,1.0
10,0.0397,0.98,1.0,1.0,1.0,1.0,1.0
