epoch,loss,train:ViT-B-32-quickgelu:openai,train:ViT-B-16-quickgelu:openai,train:ViT-B-32:laion2b_s34b_b79k,train:ViT-B-16-SigLIP:webli,train:EVA02-B-16:merged2b_s8b_b131k
1,1.5656,0.62,0.96,0.66,0.86,0.96
2,0.4677,0.88,1.0,1.0,1.0,1.0
3,0.148,0.9,1.0,1.0,1.0,1.0
4,0.0849,0.86,1.0,1.0,1.0,1.0
5,0.0749,0.92,1.0,1.0,1.0,1.0
6,0.0612,0.92,1.0,1.0,1.0,1.0
7,0.0493,0.94,1.0,1.0,1.0,1.0
8,0.0487,0.94,1.0,1.0,1.0,1.0
9,0.0406,0.92,1.0,1.0,1.0,1.0
10,0.0501,0.92,1.0,1.0,1.0,1.0
11,0.0328,0.94,1.0,1.0,1.0,1.0
12,0.0347,0.96,1.0,1.0,1.0,1.0
13,0.032,0.94,1.0,1.0,1.0,1.0
14,0.0314,0.94,1.0,1.0,1.0,1.0
15,0.0311,0.98,1.0,1.0,1.0,1.0
