epoch,loss,train:ViT-B-32-quickgelu:openai,train:ViT-B-16-quickgelu:openai,train:ViT-B-32:laion2b_s34b_b79k,train:ViT-B-16-SigLIP:webli,train:EVA02-B-16:merged2b_s8b_b131k
1,1.5122,0.52,0.88,0.7,0.88,0.76
2,0.5184,0.66,1.0,1.0,1.0,0.7
3,0.1195,0.98,1.0,1.0,1.0,1.0
4,0.0845,0.98,1.0,1.0,1.0,1.0
5,0.0415,0.98,1.0,1.0,1.0,1.0
6,0.0389,1.0,1.0,1.0,1.0,1.0
7,0.023,1.0,1.0,1.0,1.0,1.0
8,0.0229,1.0,1.0,1.0,1.0,1.0
9,0.017,1.0,1.0,1.0,1.0,1.0
10,0.0157,1.0,1.0,1.0,1.0,1.0
11,0.0116,1.0,1.0,1.0,1.0,1.0
12,0.0169,1.0,1.0,1.0,1.0,1.0
13,0.0132,1.0,1.0,1.0,1.0,1.0
14,0.0126,1.0,1.0,1.0,1.0,1.0
15,0.0071,1.0,1.0,1.0,1.0,1.0
