epoch,loss,train:ViT-B-32-quickgelu:openai,train:ViT-B-16-quickgelu:openai,train:ViT-L-14-quickgelu:openai,train:ViT-B-32:laion2b_s34b_b79k,train:ViT-B-16-SigLIP:webli,train:EVA02-B-16:merged2b_s8b_b131k,train:convnext_base_w:laion2b_s13b_b82k
1,1.9305,0.66,0.96,0.9,0.82,0.98,0.94,0.8
2,0.4799,0.82,1.0,1.0,0.9,1.0,1.0,0.94
3,0.2507,0.94,1.0,1.0,0.88,1.0,1.0,0.98
4,0.1428,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.1031,0.98,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0641,0.94,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0864,0.94,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0608,0.96,1.0,1.0,1.0,1.0,1.0,1.0
9,0.0496,0.98,1.0,1.0,1.0,1.0,1.0,1.0
10,0.0362,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.0397,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.0341,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.0289,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.0247,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.0258,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.0207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.0145,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.0175,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.0121,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.0122,1.0,1.0,1.0,1.0,1.0,1.0,1.0
