epoch,loss,train:ViT-B-32-quickgelu:openai,train:ViT-B-16-quickgelu:openai,train:ViT-B-32:laion2b_s34b_b79k,train:ViT-B-16-SigLIP:webli,train:EVA02-B-16:merged2b_s8b_b131k
1,1.2851,0.98,0.94,0.88,1.0,1.0
2,0.1645,1.0,1.0,1.0,1.0,1.0
3,0.0362,1.0,1.0,1.0,1.0,1.0
4,0.02,1.0,1.0,1.0,1.0,1.0
5,0.0179,1.0,1.0,1.0,1.0,1.0
6,0.0131,1.0,1.0,1.0,1.0,1.0
7,0.0111,1.0,1.0,1.0,1.0,1.0
8,0.0126,1.0,1.0,1.0,1.0,1.0
9,0.0116,1.0,1.0,1.0,1.0,1.0
10,0.0094,1.0,1.0,1.0,1.0,1.0
11,0.0072,1.0,1.0,1.0,1.0,1.0
12,0.0084,1.0,1.0,1.0,1.0,1.0
13,0.0061,1.0,1.0,1.0,1.0,1.0
14,0.006,1.0,1.0,1.0,1.0,1.0
15,0.0054,1.0,1.0,1.0,1.0,1.0
