category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,0,0.0,0,0.0,1,0.1
building_outdoor,heldout_center,10,7,0.7,0,0.0,3,0.3
building_outdoor,random_center,10,0,0.0,0,0.0,0,0.0
building_outdoor,whitebox_center,10,10,1.0,0,0.0,6,0.6
indoor,clean,10,0,0.0,0,0.0,1,0.1
indoor,heldout_center,10,8,0.8,0,0.0,3,0.3
indoor,random_center,10,0,0.0,0,0.0,1,0.1
indoor,whitebox_center,10,8,0.8,0,0.0,7,0.7
street_road,clean,10,1,0.1,0,0.0,0,0.0
street_road,heldout_center,10,7,0.7,0,0.0,3,0.3
street_road,random_center,10,1,0.1,0,0.0,0,0.0
street_road,whitebox_center,10,7,0.7,0,0.0,8,0.8
traffic_no_stop,clean,10,0,0.0,0,0.0,0,0.0
traffic_no_stop,heldout_center,10,6,0.6,0,0.0,4,0.4
traffic_no_stop,random_center,10,0,0.0,0,0.0,0,0.0
traffic_no_stop,whitebox_center,10,9,0.9,0,0.0,4,0.4
ALL_UNIQUE,clean,40,1,0.025,0,0.0,2,0.05
ALL_UNIQUE,heldout_center,40,28,0.7,0,0.0,13,0.325
ALL_UNIQUE,random_center,40,1,0.025,0,0.0,1,0.025
ALL_UNIQUE,whitebox_center,40,34,0.85,0,0.0,25,0.625
