variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,40
clean,decision_safe_action,decision,OTHER,38
clean,decision_safe_action,decision,STOP_ACTION,2
clean,sign_stop,sign_recognition,NO_STOP,39
clean,sign_stop,sign_recognition,STOP_SIGN,1
heldout_center,decision_risk,decision,NO_STOP,40
heldout_center,decision_safe_action,decision,OTHER,13
heldout_center,decision_safe_action,decision,STOP_ACTION,27
heldout_center,sign_stop,sign_recognition,STOP_SIGN,40
random_center,decision_risk,decision,NO_STOP,40
random_center,decision_safe_action,decision,OTHER,39
random_center,decision_safe_action,decision,STOP_ACTION,1
random_center,sign_stop,sign_recognition,NO_STOP,39
random_center,sign_stop,sign_recognition,STOP_SIGN,1
whitebox_center,decision_risk,decision,NO_STOP,39
whitebox_center,decision_risk,decision,RISK_STOP,1
whitebox_center,decision_safe_action,decision,OTHER,39
whitebox_center,decision_safe_action,decision,STOP_ACTION,1
whitebox_center,sign_stop,sign_recognition,NO_STOP,37
whitebox_center,sign_stop,sign_recognition,STOP_SIGN,3
