category,image_path,variant,sign_success,risk_success,action_success,sign_labels,risk_label,action_labels
street_road,data/test/21.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/21.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/21.png,heldout_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
street_road,data/test/21.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/22.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/22.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/22.png,heldout_center,0,0,1,NO_STOP,NO_STOP,STOP_ACTION
street_road,data/test/22.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/23.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/23.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/23.png,heldout_center,0,0,1,NO_STOP,NO_STOP,STOP_ACTION
street_road,data/test/23.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/24.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/24.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/24.png,heldout_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/24.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/25.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/25.png,whitebox_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
street_road,data/test/25.png,heldout_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/25.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/26.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/26.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/26.png,heldout_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/26.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/27.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/27.png,whitebox_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
street_road,data/test/27.png,heldout_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/27.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/28.png,clean,1,0,0,STOP_SIGN,NO_STOP,OTHER
street_road,data/test/28.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/28.png,heldout_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/28.png,random_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
street_road,data/test/29.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/29.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
street_road,data/test/29.png,heldout_center,0,0,1,NO_STOP,NO_STOP,STOP_ACTION
street_road,data/test/29.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/30.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
street_road,data/test/30.png,whitebox_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
street_road,data/test/30.png,heldout_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
street_road,data/test/30.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/31.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/31.png,whitebox_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
indoor,data/test/31.png,heldout_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
indoor,data/test/31.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/32.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/32.png,whitebox_center,1,0,0,STOP_SIGN,NO_STOP,OTHER
indoor,data/test/32.png,heldout_center,0,0,1,NO_STOP,NO_STOP,STOP_ACTION
indoor,data/test/32.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/33.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/33.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
indoor,data/test/33.png,heldout_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
indoor,data/test/33.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/34.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/34.png,whitebox_center,1,0,1,STOP_SIGN,NO_STOP,STOP_ACTION
indoor,data/test/34.png,heldout_center,0,0,1,SIGN_HALLUCINATION,NO_STOP,STOP_ACTION
indoor,data/test/34.png,random_center,0,0,0,NO_STOP,NO_STOP,OTHER
indoor,data/test/35.png,clean,0,0,0,NO_STOP,NO_STOP,OTHER
