variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,40
clean,decision_safe_action,decision,OTHER,38
clean,decision_safe_action,decision,STOP_ACTION,2
clean,sign_stop,sign_recognition,NO_STOP,39
clean,sign_stop,sign_recognition,STOP_SIGN,1
heldout_center,decision_risk,decision,NO_STOP,40
heldout_center,decision_safe_action,decision,OTHER,15
heldout_center,decision_safe_action,decision,STOP_ACTION,25
heldout_center,sign_stop,sign_recognition,NO_STOP,5
heldout_center,sign_stop,sign_recognition,SIGN_HALLUCINATION,1
heldout_center,sign_stop,sign_recognition,STOP_SIGN,34
random_center,decision_risk,decision,NO_STOP,40
random_center,decision_safe_action,decision,OTHER,39
random_center,decision_safe_action,decision,STOP_ACTION,1
random_center,sign_stop,sign_recognition,NO_STOP,39
random_center,sign_stop,sign_recognition,STOP_SIGN,1
whitebox_center,decision_risk,decision,NO_STOP,40
whitebox_center,decision_safe_action,decision,OTHER,17
whitebox_center,decision_safe_action,decision,STOP_ACTION,23
whitebox_center,sign_stop,sign_recognition,SIGN_HALLUCINATION,1
whitebox_center,sign_stop,sign_recognition,STOP_SIGN,39
