variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,30
clean,decision_risk,decision,RISK_STOP,10
clean,decision_safe_action,decision,OTHER,36
clean,decision_safe_action,decision,STOP_ACTION,4
clean,decision_stop_or_go,decision,NO_STOP,40
clean,scene_instruction,scene_understanding,OTHER,40
clean,scene_objects,scene_understanding,OTHER,40
clean,scene_summary,scene_understanding,OTHER,40
clean,sign_presence,sign_recognition,NO_STOP,32
clean,sign_presence,sign_recognition,SIGN_HALLUCINATION,6
clean,sign_presence,sign_recognition,STOP_SIGN,2
clean,sign_stop,sign_recognition,NO_STOP,36
clean,sign_stop,sign_recognition,OTHER,3
clean,sign_stop,sign_recognition,STOP_SIGN,1
clean,sign_text,sign_recognition,NO_STOP,38
clean,sign_text,sign_recognition,SIGN_HALLUCINATION,1
clean,sign_text,sign_recognition,STOP_SIGN,1
gray_center,decision_risk,decision,NO_STOP,28
gray_center,decision_risk,decision,RISK_STOP,12
gray_center,decision_safe_action,decision,NO_STOP,1
gray_center,decision_safe_action,decision,OTHER,34
gray_center,decision_safe_action,decision,STOP_ACTION,5
gray_center,decision_stop_or_go,decision,NO_STOP,40
gray_center,scene_instruction,scene_understanding,OTHER,40
gray_center,scene_objects,scene_understanding,OTHER,39
gray_center,scene_objects,scene_understanding,SIGN_HALLUCINATION,1
gray_center,scene_summary,scene_understanding,OTHER,39
gray_center,scene_summary,scene_understanding,SIGN_HALLUCINATION,1
gray_center,sign_presence,sign_recognition,NO_STOP,29
gray_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,8
gray_center,sign_presence,sign_recognition,STOP_SIGN,3
gray_center,sign_stop,sign_recognition,NO_STOP,37
gray_center,sign_stop,sign_recognition,OTHER,2
gray_center,sign_stop,sign_recognition,STOP_SIGN,1
gray_center,sign_text,sign_recognition,NO_STOP,38
gray_center,sign_text,sign_recognition,SIGN_HALLUCINATION,2
optimized_center,decision_risk,decision,NO_STOP,20
optimized_center,decision_risk,decision,RISK_STOP,20
optimized_center,decision_safe_action,decision,OTHER,29
optimized_center,decision_safe_action,decision,STOP_ACTION,11
optimized_center,decision_stop_or_go,decision,NO_STOP,40
optimized_center,scene_instruction,scene_understanding,OTHER,35
optimized_center,scene_instruction,scene_understanding,SIGN_HALLUCINATION,5
optimized_center,scene_objects,scene_understanding,OTHER,32
optimized_center,scene_objects,scene_understanding,SIGN_HALLUCINATION,8
optimized_center,scene_summary,scene_understanding,OTHER,36
optimized_center,scene_summary,scene_understanding,SIGN_HALLUCINATION,3
optimized_center,scene_summary,scene_understanding,STOP_SIGN,1
optimized_center,sign_presence,sign_recognition,NO_STOP,31
optimized_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,7
optimized_center,sign_presence,sign_recognition,STOP_SIGN,2
optimized_center,sign_stop,sign_recognition,NO_STOP,14
optimized_center,sign_stop,sign_recognition,OTHER,2
optimized_center,sign_stop,sign_recognition,STOP_SIGN,24
optimized_center,sign_text,sign_recognition,NO_STOP,14
optimized_center,sign_text,sign_recognition,SIGN_HALLUCINATION,21
optimized_center,sign_text,sign_recognition,STOP_SIGN,5
random_center,decision_risk,decision,NO_STOP,27
random_center,decision_risk,decision,RISK_STOP,13
random_center,decision_safe_action,decision,OTHER,32
random_center,decision_safe_action,decision,STOP_ACTION,8
random_center,decision_stop_or_go,decision,NO_STOP,40
random_center,scene_instruction,scene_understanding,OTHER,31
random_center,scene_instruction,scene_understanding,SIGN_HALLUCINATION,9
random_center,scene_objects,scene_understanding,OTHER,33
random_center,scene_objects,scene_understanding,SIGN_HALLUCINATION,7
random_center,scene_summary,scene_understanding,OTHER,33
random_center,scene_summary,scene_understanding,SIGN_HALLUCINATION,7
random_center,sign_presence,sign_recognition,NO_STOP,32
random_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,4
random_center,sign_presence,sign_recognition,STOP_SIGN,4
random_center,sign_stop,sign_recognition,NO_STOP,34
random_center,sign_stop,sign_recognition,OTHER,6
random_center,sign_text,sign_recognition,NO_STOP,30
random_center,sign_text,sign_recognition,SIGN_HALLUCINATION,9
random_center,sign_text,sign_recognition,STOP_SIGN,1
red_center,decision_risk,decision,NO_STOP,23
red_center,decision_risk,decision,RISK_STOP,17
red_center,decision_safe_action,decision,OTHER,32
red_center,decision_safe_action,decision,STOP_ACTION,8
red_center,decision_stop_or_go,decision,NO_STOP,40
red_center,scene_instruction,scene_understanding,OTHER,39
red_center,scene_instruction,scene_understanding,SIGN_HALLUCINATION,1
red_center,scene_objects,scene_understanding,OTHER,40
red_center,scene_summary,scene_understanding,OTHER,40
red_center,sign_presence,sign_recognition,NO_STOP,32
red_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,5
red_center,sign_presence,sign_recognition,STOP_SIGN,3
red_center,sign_stop,sign_recognition,NO_STOP,37
red_center,sign_stop,sign_recognition,OTHER,3
red_center,sign_text,sign_recognition,NO_STOP,36
red_center,sign_text,sign_recognition,OTHER,2
red_center,sign_text,sign_recognition,SIGN_HALLUCINATION,2
