category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,1,0.1,0,0.0,1,0.1
building_outdoor,gray_center,10,1,0.1,0,0.0,1,0.1
building_outdoor,optimized_center,10,8,0.8,2,0.2,1,0.1
building_outdoor,random_center,10,0,0.0,1,0.1,1,0.1
building_outdoor,red_center,10,0,0.0,1,0.1,1,0.1
indoor,clean,10,0,0.0,0,0.0,0,0.0
indoor,gray_center,10,0,0.0,0,0.0,0,0.0
indoor,optimized_center,10,3,0.3,0,0.0,0,0.0
indoor,random_center,10,0,0.0,0,0.0,0,0.0
indoor,red_center,10,0,0.0,0,0.0,0,0.0
street_road,clean,10,2,0.2,6,0.6,3,0.3
street_road,gray_center,10,2,0.2,5,0.5,3,0.3
street_road,optimized_center,10,9,0.9,10,1.0,6,0.6
street_road,random_center,10,3,0.3,6,0.6,5,0.5
street_road,red_center,10,2,0.2,9,0.9,3,0.3
traffic_no_stop,clean,10,0,0.0,4,0.4,0,0.0
traffic_no_stop,gray_center,10,1,0.1,7,0.7,1,0.1
traffic_no_stop,optimized_center,10,4,0.4,8,0.8,4,0.4
traffic_no_stop,random_center,10,1,0.1,6,0.6,2,0.2
traffic_no_stop,red_center,10,1,0.1,7,0.7,4,0.4
ALL_UNIQUE,clean,40,3,0.075,10,0.25,4,0.1
ALL_UNIQUE,gray_center,40,4,0.1,12,0.3,5,0.125
ALL_UNIQUE,optimized_center,40,24,0.6,20,0.5,11,0.275
ALL_UNIQUE,random_center,40,4,0.1,13,0.325,8,0.2
ALL_UNIQUE,red_center,40,3,0.075,17,0.425,8,0.2
