category,image_path,variant,sign_success,risk_success,action_success,sign_labels,risk_label,action_labels
street_road,data/test/21.png,clean,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/21.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/22.png,clean,0,1,1,NO_STOP|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/22.png,optimized_center,1,1,1,STOP_SIGN|STOP_SIGN,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/23.png,clean,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/23.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/24.png,clean,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/24.png,optimized_center,1,1,1,SIGN_HALLUCINATION|STOP_SIGN,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/25.png,clean,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/25.png,optimized_center,1,1,1,STOP_SIGN|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/26.png,clean,0,1,1,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/26.png,optimized_center,1,1,1,STOP_SIGN|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/27.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/27.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/28.png,clean,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/28.png,optimized_center,1,1,1,SIGN_HALLUCINATION|STOP_SIGN,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/29.png,clean,0,0,1,NO_STOP|NO_STOP,NO_STOP,STOP_ACTION|NO_STOP
street_road,data/test/29.png,optimized_center,1,1,1,STOP_SIGN|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
street_road,data/test/30.png,clean,1,1,0,NO_STOP|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
street_road,data/test/30.png,optimized_center,1,1,1,STOP_SIGN|STOP_SIGN,RISK_STOP,STOP_ACTION|STOP_ACTION
indoor,data/test/31.png,clean,0,0,0,NO_STOP|OTHER,NO_STOP,OTHER|NO_STOP
indoor,data/test/31.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,OTHER|STOP_ACTION
indoor,data/test/32.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/32.png,optimized_center,0,1,1,NO_STOP|SIGN_HALLUCINATION,RISK_STOP,OTHER|STOP_ACTION
indoor,data/test/33.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/33.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,OTHER|STOP_ACTION
indoor,data/test/34.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/34.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
indoor,data/test/35.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/35.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,OTHER|STOP_ACTION
indoor,data/test/36.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/36.png,optimized_center,0,1,1,NO_STOP|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
indoor,data/test/37.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/37.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,OTHER|STOP_ACTION
indoor,data/test/38.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/38.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
indoor,data/test/39.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/39.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
indoor,data/test/40.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/40.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/1.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/1.png,optimized_center,1,1,1,STOP_SIGN|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/2.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/2.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/3.png,clean,0,0,0,NO_STOP|OTHER,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/3.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/4.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/4.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/5.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/5.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/6.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/6.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/7.png,clean,0,0,1,SIGN_HALLUCINATION|NO_STOP,NO_STOP,STOP_ACTION|NO_STOP
building_outdoor,data/test/7.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/8.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/8.png,optimized_center,1,1,1,SIGN_HALLUCINATION|STOP_SIGN,RISK_STOP,STOP_ACTION|STOP_ACTION
building_outdoor,data/test/9.png,clean,0,0,0,NO_STOP|OTHER,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/9.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,OTHER|STOP_ACTION
building_outdoor,data/test/10.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/10.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/11.png,clean,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/11.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/12.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/12.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/13.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/13.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/14.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/14.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/15.png,clean,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/15.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/16.png,clean,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/16.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/17.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/17.png,optimized_center,0,1,1,SIGN_HALLUCINATION|SIGN_HALLUCINATION,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/18.png,clean,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
traffic_no_stop,data/test/18.png,optimized_center,0,1,1,SIGN_HALLUCINATION|OTHER,RISK_STOP,STOP_ACTION|STOP_ACTION
traffic_no_stop,data/test/19.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
