variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,30
clean,decision_risk,decision,RISK_STOP,10
clean,decision_safe_action,decision,OTHER,36
clean,decision_safe_action,decision,STOP_ACTION,4
clean,decision_stop_or_go,decision,NO_STOP,40
clean,sign_presence,sign_recognition,NO_STOP,32
clean,sign_presence,sign_recognition,SIGN_HALLUCINATION,8
clean,sign_stop,sign_recognition,NO_STOP,36
clean,sign_stop,sign_recognition,OTHER,3
clean,sign_stop,sign_recognition,STOP_SIGN,1
optimized_center,decision_risk,decision,NO_STOP,1
optimized_center,decision_risk,decision,RISK_STOP,39
optimized_center,decision_safe_action,decision,OTHER,6
optimized_center,decision_safe_action,decision,STOP_ACTION,34
optimized_center,decision_stop_or_go,decision,STOP_ACTION,40
optimized_center,sign_presence,sign_recognition,NO_STOP,2
optimized_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,32
optimized_center,sign_presence,sign_recognition,STOP_SIGN,6
optimized_center,sign_stop,sign_recognition,OTHER,10
optimized_center,sign_stop,sign_recognition,SIGN_HALLUCINATION,25
optimized_center,sign_stop,sign_recognition,STOP_SIGN,5
