category,image_path,variant,sign_success,risk_success,action_success,sign_labels,risk_label,action_labels
street_road,data/test/21.png,clean,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/21.png,optimized_center,1,1,0,STOP_SIGN|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
street_road,data/test/21.png,random_center,1,1,1,STOP_SIGN|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/21.png,red_center,0,1,1,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/21.png,gray_center,1,1,1,SIGN_HALLUCINATION|STOP_SIGN,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/22.png,clean,0,1,1,NO_STOP|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/22.png,optimized_center,1,1,1,NO_STOP|STOP_SIGN,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/22.png,random_center,0,1,1,NO_STOP|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/22.png,red_center,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/22.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/23.png,clean,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/23.png,optimized_center,0,1,0,SIGN_HALLUCINATION|OTHER,RISK_STOP,OTHER|NO_STOP
street_road,data/test/23.png,random_center,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/23.png,red_center,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/23.png,gray_center,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/24.png,clean,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/24.png,optimized_center,0,1,0,SIGN_HALLUCINATION|OTHER,RISK_STOP,OTHER|NO_STOP
street_road,data/test/24.png,random_center,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/24.png,red_center,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/24.png,gray_center,0,0,0,SIGN_HALLUCINATION|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/25.png,clean,1,1,0,STOP_SIGN|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/25.png,optimized_center,1,1,0,STOP_SIGN|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
street_road,data/test/25.png,random_center,1,1,0,STOP_SIGN|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/25.png,red_center,1,1,0,STOP_SIGN|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/25.png,gray_center,1,1,0,STOP_SIGN|OTHER,RISK_STOP,OTHER|NO_STOP
street_road,data/test/26.png,clean,0,1,1,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/26.png,optimized_center,1,1,1,STOP_SIGN|STOP_SIGN,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/26.png,random_center,1,1,1,STOP_SIGN|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/26.png,red_center,1,1,1,STOP_SIGN|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/26.png,gray_center,0,1,1,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/27.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/27.png,optimized_center,1,1,0,SIGN_HALLUCINATION|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
street_road,data/test/27.png,random_center,0,0,0,NO_STOP|OTHER,NO_STOP,OTHER|NO_STOP
street_road,data/test/27.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/27.png,gray_center,0,0,1,SIGN_HALLUCINATION|NO_STOP,NO_STOP,STOP_ACTION|NO_STOP
street_road,data/test/28.png,clean,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/28.png,optimized_center,1,1,0,SIGN_HALLUCINATION|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
street_road,data/test/28.png,random_center,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/28.png,red_center,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/28.png,gray_center,0,1,0,SIGN_HALLUCINATION|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/29.png,clean,0,0,1,NO_STOP|NO_STOP,NO_STOP,STOP_ACTION|NO_STOP
street_road,data/test/29.png,optimized_center,1,1,1,NO_STOP|STOP_SIGN,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/29.png,random_center,0,0,1,NO_STOP|NO_STOP,NO_STOP,STOP_ACTION|NO_STOP
street_road,data/test/29.png,red_center,0,1,1,NO_STOP|NO_STOP,RISK_STOP,STOP_ACTION|NO_STOP
street_road,data/test/29.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
street_road,data/test/30.png,clean,1,1,0,NO_STOP|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
street_road,data/test/30.png,optimized_center,1,1,0,SIGN_HALLUCINATION|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
street_road,data/test/30.png,random_center,0,0,1,SIGN_HALLUCINATION|NO_STOP,NO_STOP,STOP_ACTION|NO_STOP
street_road,data/test/30.png,red_center,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
street_road,data/test/30.png,gray_center,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
indoor,data/test/31.png,clean,0,0,0,NO_STOP|OTHER,NO_STOP,OTHER|NO_STOP
indoor,data/test/31.png,optimized_center,1,0,0,NO_STOP|STOP_SIGN,NO_STOP,OTHER|NO_STOP
indoor,data/test/31.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/31.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/31.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/32.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/32.png,optimized_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/32.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/32.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/32.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/33.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/33.png,optimized_center,1,0,0,NO_STOP|STOP_SIGN,NO_STOP,OTHER|NO_STOP
indoor,data/test/33.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/33.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/33.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/34.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/34.png,optimized_center,1,1,0,NO_STOP|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
indoor,data/test/34.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/34.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/34.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/35.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/35.png,optimized_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/35.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/35.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/35.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/36.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/36.png,optimized_center,1,1,0,NO_STOP|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
indoor,data/test/36.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/36.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/36.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/37.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/37.png,optimized_center,1,1,0,NO_STOP|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
indoor,data/test/37.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/37.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/37.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/38.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/38.png,optimized_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/38.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/38.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/38.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/39.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/39.png,optimized_center,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
indoor,data/test/39.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/39.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/39.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/40.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/40.png,optimized_center,0,1,0,NO_STOP|NO_STOP,RISK_STOP,OTHER|NO_STOP
indoor,data/test/40.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/40.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
indoor,data/test/40.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/1.png,clean,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/1.png,optimized_center,1,1,0,NO_STOP|STOP_SIGN,RISK_STOP,OTHER|NO_STOP
building_outdoor,data/test/1.png,random_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/1.png,red_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
building_outdoor,data/test/1.png,gray_center,0,0,0,NO_STOP|NO_STOP,NO_STOP,OTHER|NO_STOP
