variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,RISK_STOP,40
clean,decision_safe_action,decision,NO_STOP,14
clean,decision_safe_action,decision,OTHER,24
clean,decision_safe_action,decision,STOP_ACTION,2
clean,sign_stop,sign_recognition,NO_STOP,37
clean,sign_stop,sign_recognition,STOP_SIGN,3
heldout_center,decision_risk,decision,RISK_STOP,40
heldout_center,decision_safe_action,decision,NO_STOP,15
heldout_center,decision_safe_action,decision,OTHER,19
heldout_center,decision_safe_action,decision,STOP_ACTION,6
heldout_center,sign_stop,sign_recognition,NO_STOP,37
heldout_center,sign_stop,sign_recognition,STOP_SIGN,3
random_center,decision_risk,decision,NO_STOP,2
random_center,decision_risk,decision,RISK_STOP,38
random_center,decision_safe_action,decision,NO_STOP,17
random_center,decision_safe_action,decision,OTHER,16
random_center,decision_safe_action,decision,STOP_ACTION,7
random_center,sign_stop,sign_recognition,NO_STOP,37
random_center,sign_stop,sign_recognition,STOP_SIGN,3
whitebox_center,decision_risk,decision,NO_STOP,6
whitebox_center,decision_risk,decision,RISK_STOP,34
whitebox_center,decision_safe_action,decision,NO_STOP,9
whitebox_center,decision_safe_action,decision,OTHER,12
whitebox_center,decision_safe_action,decision,STOP_ACTION,19
whitebox_center,sign_stop,sign_recognition,NO_STOP,18
whitebox_center,sign_stop,sign_recognition,STOP_SIGN,22
