category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,0,0.0,10,1.0,0,0.0
building_outdoor,heldout_center,10,0,0.0,10,1.0,0,0.0
building_outdoor,random_center,10,0,0.0,10,1.0,1,0.1
building_outdoor,whitebox_center,10,5,0.5,8,0.8,5,0.5
indoor,clean,10,0,0.0,10,1.0,0,0.0
indoor,heldout_center,10,0,0.0,10,1.0,0,0.0
indoor,random_center,10,0,0.0,10,1.0,0,0.0
indoor,whitebox_center,10,1,0.1,9,0.9,0,0.0
street_road,clean,10,3,0.3,10,1.0,1,0.1
street_road,heldout_center,10,3,0.3,10,1.0,4,0.4
street_road,random_center,10,3,0.3,8,0.8,4,0.4
street_road,whitebox_center,10,7,0.7,7,0.7,8,0.8
traffic_no_stop,clean,10,0,0.0,10,1.0,1,0.1
traffic_no_stop,heldout_center,10,0,0.0,10,1.0,2,0.2
traffic_no_stop,random_center,10,0,0.0,10,1.0,2,0.2
traffic_no_stop,whitebox_center,10,9,0.9,10,1.0,6,0.6
ALL_UNIQUE,clean,40,3,0.075,40,1.0,2,0.05
ALL_UNIQUE,heldout_center,40,3,0.075,40,1.0,6,0.15
ALL_UNIQUE,random_center,40,3,0.075,38,0.95,7,0.175
ALL_UNIQUE,whitebox_center,40,22,0.55,34,0.85,19,0.475
