variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,39
clean,decision_risk,decision,RISK_STOP,1
clean,decision_safe_action,decision,OTHER,34
clean,decision_safe_action,decision,STOP_ACTION,6
clean,sign_stop,sign_recognition,NO_STOP,38
clean,sign_stop,sign_recognition,STOP_SIGN,2
heldout_center,decision_risk,decision,NO_STOP,39
heldout_center,decision_risk,decision,RISK_STOP,1
heldout_center,decision_safe_action,decision,OTHER,34
heldout_center,decision_safe_action,decision,STOP_ACTION,6
heldout_center,sign_stop,sign_recognition,NO_STOP,28
heldout_center,sign_stop,sign_recognition,SIGN_HALLUCINATION,1
heldout_center,sign_stop,sign_recognition,STOP_SIGN,11
random_center,decision_risk,decision,NO_STOP,38
random_center,decision_risk,decision,RISK_STOP,2
random_center,decision_safe_action,decision,OTHER,34
random_center,decision_safe_action,decision,STOP_ACTION,6
random_center,sign_stop,sign_recognition,NO_STOP,38
random_center,sign_stop,sign_recognition,STOP_SIGN,2
whitebox_center,decision_risk,decision,NO_STOP,22
whitebox_center,decision_risk,decision,RISK_STOP,18
whitebox_center,decision_safe_action,decision,NO_STOP,1
whitebox_center,decision_safe_action,decision,OTHER,6
whitebox_center,decision_safe_action,decision,STOP_ACTION,33
whitebox_center,sign_stop,sign_recognition,SIGN_HALLUCINATION,1
whitebox_center,sign_stop,sign_recognition,STOP_SIGN,39
