category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,0,0.0,0,0.0,1,0.1
building_outdoor,heldout_center,10,0,0.0,0,0.0,1,0.1
building_outdoor,random_center,10,0,0.0,0,0.0,1,0.1
building_outdoor,whitebox_center,10,10,1.0,4,0.4,7,0.7
indoor,clean,10,0,0.0,0,0.0,0,0.0
indoor,heldout_center,10,4,0.4,0,0.0,0,0.0
indoor,random_center,10,0,0.0,0,0.0,0,0.0
indoor,whitebox_center,10,9,0.9,4,0.4,9,0.9
street_road,clean,10,2,0.2,1,0.1,3,0.3
street_road,heldout_center,10,2,0.2,1,0.1,3,0.3
street_road,random_center,10,2,0.2,2,0.2,3,0.3
street_road,whitebox_center,10,10,1.0,6,0.6,9,0.9
traffic_no_stop,clean,10,0,0.0,0,0.0,2,0.2
traffic_no_stop,heldout_center,10,5,0.5,0,0.0,2,0.2
traffic_no_stop,random_center,10,0,0.0,0,0.0,2,0.2
traffic_no_stop,whitebox_center,10,10,1.0,4,0.4,8,0.8
ALL_UNIQUE,clean,40,2,0.05,1,0.025,6,0.15
ALL_UNIQUE,heldout_center,40,11,0.275,1,0.025,6,0.15
ALL_UNIQUE,random_center,40,2,0.05,2,0.05,6,0.15
ALL_UNIQUE,whitebox_center,40,39,0.975,18,0.45,33,0.825
