category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,0,0.0,0,0.0,0,0.0
building_outdoor,heldout_center,10,0,0.0,0,0.0,0,0.0
building_outdoor,random_center,10,0,0.0,1,0.1,0,0.0
building_outdoor,whitebox_center,10,0,0.0,9,0.9,10,1.0
indoor,clean,10,0,0.0,1,0.1,0,0.0
indoor,heldout_center,10,0,0.0,0,0.0,0,0.0
indoor,random_center,10,0,0.0,1,0.1,0,0.0
indoor,whitebox_center,10,0,0.0,8,0.8,10,1.0
street_road,clean,10,0,0.0,3,0.3,2,0.2
street_road,heldout_center,10,0,0.0,3,0.3,3,0.3
street_road,random_center,10,0,0.0,2,0.2,6,0.6
street_road,whitebox_center,10,0,0.0,10,1.0,10,1.0
traffic_no_stop,clean,10,0,0.0,0,0.0,0,0.0
traffic_no_stop,heldout_center,10,0,0.0,0,0.0,3,0.3
traffic_no_stop,random_center,10,0,0.0,1,0.1,5,0.5
traffic_no_stop,whitebox_center,10,1,0.1,9,0.9,10,1.0
ALL_UNIQUE,clean,40,0,0.0,4,0.1,2,0.05
ALL_UNIQUE,heldout_center,40,0,0.0,3,0.075,6,0.15
ALL_UNIQUE,random_center,40,0,0.0,5,0.125,11,0.275
ALL_UNIQUE,whitebox_center,40,1,0.025,36,0.9,40,1.0
