variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,5
clean,decision_risk,decision,OTHER,35
clean,decision_safe_action,decision,OTHER,39
clean,decision_safe_action,decision,STOP_ACTION,1
clean,sign_stop,sign_recognition,NO_STOP,7
clean,sign_stop,sign_recognition,OTHER,33
heldout_center,decision_risk,decision,NO_STOP,2
heldout_center,decision_risk,decision,OTHER,35
heldout_center,decision_risk,decision,RISK_STOP,3
heldout_center,decision_safe_action,decision,OTHER,40
heldout_center,sign_stop,sign_recognition,NO_STOP,4
heldout_center,sign_stop,sign_recognition,OTHER,35
heldout_center,sign_stop,sign_recognition,STOP_SIGN,1
random_center,decision_risk,decision,NO_STOP,2
random_center,decision_risk,decision,OTHER,34
random_center,decision_risk,decision,RISK_STOP,4
random_center,decision_safe_action,decision,OTHER,40
random_center,sign_stop,sign_recognition,NO_STOP,6
random_center,sign_stop,sign_recognition,OTHER,34
whitebox_center,decision_risk,decision,OTHER,38
whitebox_center,decision_risk,decision,RISK_STOP,2
whitebox_center,decision_safe_action,decision,OTHER,40
whitebox_center,sign_stop,sign_recognition,NO_STOP,5
whitebox_center,sign_stop,sign_recognition,OTHER,35
