category,image_path,variant,sign_success,risk_success,action_success,sign_labels,risk_label,action_labels
street_road,data/test/21.png,clean,0,0,0,NO_STOP,,
street_road,data/test/21.png,whitebox_center,0,0,0,NO_STOP,,
street_road,data/test/21.png,heldout_center,0,0,0,NO_STOP,,
indoor,data/test/31.png,clean,0,0,0,NO_STOP,,
indoor,data/test/31.png,whitebox_center,0,0,0,NO_STOP,,
indoor,data/test/31.png,heldout_center,0,0,0,NO_STOP,,
building_outdoor,data/test/1.png,clean,0,0,0,NO_STOP,,
building_outdoor,data/test/1.png,whitebox_center,0,0,0,SIGN_HALLUCINATION,,
building_outdoor,data/test/1.png,heldout_center,0,0,0,NO_STOP,,
traffic_no_stop,data/test/11.png,clean,0,0,0,NO_STOP,,
traffic_no_stop,data/test/11.png,whitebox_center,0,0,0,NO_STOP,,
traffic_no_stop,data/test/11.png,heldout_center,1,0,0,STOP_SIGN,,
