category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,0,0.0,0,0.0,9,0.9
building_outdoor,heldout_center,10,10,1.0,3,0.3,10,1.0
building_outdoor,random_center,10,0,0.0,0,0.0,10,1.0
building_outdoor,whitebox_center,10,10,1.0,6,0.6,10,1.0
indoor,clean,10,0,0.0,0,0.0,9,0.9
indoor,heldout_center,10,10,1.0,9,0.9,10,1.0
indoor,random_center,10,0,0.0,0,0.0,10,1.0
indoor,whitebox_center,10,10,1.0,10,1.0,10,1.0
street_road,clean,10,0,0.0,0,0.0,10,1.0
street_road,heldout_center,10,10,1.0,7,0.7,10,1.0
street_road,random_center,10,0,0.0,0,0.0,10,1.0
street_road,whitebox_center,10,10,1.0,1,0.1,10,1.0
traffic_no_stop,clean,10,0,0.0,0,0.0,8,0.8
traffic_no_stop,heldout_center,10,10,1.0,5,0.5,10,1.0
traffic_no_stop,random_center,10,0,0.0,0,0.0,10,1.0
traffic_no_stop,whitebox_center,10,9,0.9,1,0.1,10,1.0
ALL_UNIQUE,clean,40,0,0.0,0,0.0,36,0.9
ALL_UNIQUE,heldout_center,40,40,1.0,24,0.6,40,1.0
ALL_UNIQUE,random_center,40,0,0.0,0,0.0,40,1.0
ALL_UNIQUE,whitebox_center,40,39,0.975,18,0.45,40,1.0
