category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,1,0,0.0,0,0.0,1,1.0
building_outdoor,heldout_center,1,0,0.0,0,0.0,1,1.0
building_outdoor,random_center,1,0,0.0,0,0.0,1,1.0
building_outdoor,whitebox_center,1,0,0.0,0,0.0,1,1.0
indoor,clean,1,0,0.0,0,0.0,1,1.0
indoor,heldout_center,1,0,0.0,0,0.0,1,1.0
indoor,random_center,1,0,0.0,0,0.0,1,1.0
indoor,whitebox_center,1,0,0.0,0,0.0,1,1.0
street_road,clean,1,0,0.0,0,0.0,1,1.0
street_road,heldout_center,1,1,1.0,0,0.0,1,1.0
street_road,random_center,1,0,0.0,0,0.0,1,1.0
street_road,whitebox_center,1,0,0.0,0,0.0,1,1.0
traffic_no_stop,clean,1,0,0.0,0,0.0,1,1.0
traffic_no_stop,heldout_center,1,0,0.0,0,0.0,1,1.0
traffic_no_stop,random_center,1,0,0.0,0,0.0,1,1.0
traffic_no_stop,whitebox_center,1,0,0.0,0,0.0,1,1.0
ALL_UNIQUE,clean,4,0,0.0,0,0.0,4,1.0
ALL_UNIQUE,heldout_center,4,1,0.25,0,0.0,4,1.0
ALL_UNIQUE,random_center,4,0,0.0,0,0.0,4,1.0
ALL_UNIQUE,whitebox_center,4,0,0.0,0,0.0,4,1.0
