variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,36
clean,decision_risk,decision,RISK_STOP,4
clean,decision_safe_action,decision,NO_STOP,3
clean,decision_safe_action,decision,OTHER,35
clean,decision_safe_action,decision,STOP_ACTION,2
clean,decision_stop_or_go,decision,NO_STOP,23
clean,decision_stop_or_go,decision,STOP_ACTION,17
clean,sign_presence,sign_recognition,NO_STOP,25
clean,sign_presence,sign_recognition,OTHER,5
clean,sign_presence,sign_recognition,SIGN_HALLUCINATION,9
clean,sign_presence,sign_recognition,STOP_SIGN,1
clean,sign_stop,sign_recognition,NO_STOP,40
heldout_center,decision_risk,decision,NO_STOP,26
heldout_center,decision_risk,decision,RISK_STOP,14
heldout_center,decision_safe_action,decision,NO_STOP,2
heldout_center,decision_safe_action,decision,OTHER,31
heldout_center,decision_safe_action,decision,STOP_ACTION,7
heldout_center,decision_stop_or_go,decision,NO_STOP,5
heldout_center,decision_stop_or_go,decision,STOP_ACTION,35
heldout_center,sign_presence,sign_recognition,NO_STOP,30
heldout_center,sign_presence,sign_recognition,OTHER,1
heldout_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,7
heldout_center,sign_presence,sign_recognition,STOP_SIGN,2
heldout_center,sign_stop,sign_recognition,NO_STOP,40
random_center,decision_risk,decision,NO_STOP,35
random_center,decision_risk,decision,RISK_STOP,5
random_center,decision_safe_action,decision,OTHER,29
random_center,decision_safe_action,decision,STOP_ACTION,11
random_center,decision_stop_or_go,decision,NO_STOP,2
random_center,decision_stop_or_go,decision,STOP_ACTION,38
random_center,sign_presence,sign_recognition,NO_STOP,34
random_center,sign_presence,sign_recognition,OTHER,1
random_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,5
random_center,sign_stop,sign_recognition,NO_STOP,40
whitebox_center,decision_risk,decision,NO_STOP,37
whitebox_center,decision_risk,decision,RISK_STOP,3
whitebox_center,decision_safe_action,decision,OTHER,34
whitebox_center,decision_safe_action,decision,STOP_ACTION,6
whitebox_center,decision_stop_or_go,decision,NO_STOP,13
whitebox_center,decision_stop_or_go,decision,STOP_ACTION,27
whitebox_center,sign_presence,sign_recognition,NO_STOP,31
whitebox_center,sign_presence,sign_recognition,OTHER,3
whitebox_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,6
whitebox_center,sign_stop,sign_recognition,NO_STOP,40
