category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,0,0.0,0,0.0,4,0.4
building_outdoor,heldout_center,10,0,0.0,5,0.5,9,0.9
building_outdoor,random_center,10,0,0.0,1,0.1,10,1.0
building_outdoor,whitebox_center,10,0,0.0,0,0.0,6,0.6
indoor,clean,10,0,0.0,1,0.1,5,0.5
indoor,heldout_center,10,0,0.0,4,0.4,9,0.9
indoor,random_center,10,0,0.0,1,0.1,10,1.0
indoor,whitebox_center,10,0,0.0,0,0.0,7,0.7
street_road,clean,10,1,0.1,3,0.3,7,0.7
street_road,heldout_center,10,1,0.1,3,0.3,9,0.9
street_road,random_center,10,0,0.0,2,0.2,10,1.0
street_road,whitebox_center,10,0,0.0,3,0.3,8,0.8
traffic_no_stop,clean,10,0,0.0,0,0.0,1,0.1
traffic_no_stop,heldout_center,10,1,0.1,2,0.2,10,1.0
traffic_no_stop,random_center,10,0,0.0,1,0.1,10,1.0
traffic_no_stop,whitebox_center,10,0,0.0,0,0.0,8,0.8
ALL_UNIQUE,clean,40,1,0.025,4,0.1,17,0.425
ALL_UNIQUE,heldout_center,40,2,0.05,14,0.35,37,0.925
ALL_UNIQUE,random_center,40,0,0.0,5,0.125,40,1.0
ALL_UNIQUE,whitebox_center,40,0,0.0,3,0.075,29,0.725
