variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,36
clean,decision_risk,decision,RISK_STOP,4
clean,decision_safe_action,decision,NO_STOP,3
clean,decision_safe_action,decision,OTHER,35
clean,decision_safe_action,decision,STOP_ACTION,2
clean,sign_stop,sign_recognition,NO_STOP,40
heldout_center,decision_risk,decision,NO_STOP,37
heldout_center,decision_risk,decision,RISK_STOP,3
heldout_center,decision_safe_action,decision,OTHER,34
heldout_center,decision_safe_action,decision,STOP_ACTION,6
heldout_center,sign_stop,sign_recognition,NO_STOP,40
random_center,decision_risk,decision,NO_STOP,35
random_center,decision_risk,decision,RISK_STOP,5
random_center,decision_safe_action,decision,OTHER,29
random_center,decision_safe_action,decision,STOP_ACTION,11
random_center,sign_stop,sign_recognition,NO_STOP,40
whitebox_center,decision_risk,decision,NO_STOP,10
whitebox_center,decision_risk,decision,RISK_STOP,30
whitebox_center,decision_safe_action,decision,OTHER,8
whitebox_center,decision_safe_action,decision,STOP_ACTION,32
whitebox_center,sign_stop,sign_recognition,NO_STOP,35
whitebox_center,sign_stop,sign_recognition,OTHER,5
